"J","seed","bad_position","M","p","kGreater","kEqual","MC_lower","MC_upper","exact_population_midp","reference_outside","at_001_disagrees"
23,42,6,1e+05,0.00034,31,6,0.000210639372834515,0.000509960561154996,0.000601457319643434,TRUE,FALSE
23,42,7,1e+05,0.000385,37,3,0.000260527106081731,0.000544647063399749,0.000601457319643434,TRUE,FALSE
23,42,8,1e+05,0.00027,23,8,0.000145805679998843,0.000439991648395911,0.000601457319643434,TRUE,FALSE
23,42,9,1e+05,0.00057,56,2,0.00042304484468993,0.000749720841288486,0.000601457319643434,FALSE,FALSE
23,42,10,1e+05,0.000985,98,1,0.000795680765041009,0.00120515971264282,0.000601457319643434,TRUE,FALSE
23,42,11,1e+05,0.001185,115,7,0.000949533436585612,0.00145650927604699,0.000601457319643434,TRUE,FALSE
23,42,12,1e+05,0.000685,66,5,0.000510479577680588,0.00089548528739523,0.000601457319643434,FALSE,FALSE
23,42,13,1e+05,0.000875,83,9,0.000661142907799843,0.00112818080067548,0.000601457319643434,TRUE,FALSE
23,42,14,1e+05,0.000105,9,3,4.11545303373178e-05,0.000209606458050164,0.000601457319643434,TRUE,FALSE
23,42,15,1e+05,8e-04,77,6,0.000607718252817275,0.00102880753406032,0.000601457319643434,TRUE,FALSE
23,42,16,1e+05,0.00074,71,6,0.000554556236512126,0.000962275309393523,0.000601457319643434,FALSE,FALSE
23,42,17,1e+05,0.000135,12,3,6.20072391173597e-05,0.000247390139927795,0.000601457319643434,TRUE,FALSE
23,42,18,1e+05,0.000635,61,5,0.000466632793839761,0.000839606379174099,0.000601457319643434,FALSE,FALSE
23,42,19,1e+05,0.0011,107,6,0.000876971132313724,0.00135841635605516,0.000601457319643434,TRUE,FALSE
23,42,20,1e+05,0.000595,58,3,0.000440446857385524,0.000783502510737735,0.000601457319643434,FALSE,FALSE
23,42,21,1e+05,0.00105,103,4,0.000840794770241369,0.001292841287611,0.000601457319643434,TRUE,FALSE
23,42,22,1e+05,0.00101,99,4,0.000804693726758271,0.00124903763664215,0.000601457319643434,TRUE,FALSE
23,42,23,1e+05,0.000455,42,7,0.000302715299621255,0.00064775486878884,0.000601457319643434,FALSE,FALSE
23,43,1,1e+05,0.00023,21,4,0.00012999786039684,0.000369027349016312,0.000601457319643434,TRUE,FALSE
23,43,2,1e+05,0.000645,62,5,0.000475382454285239,0.000850799356813458,0.000601457319643434,FALSE,FALSE
23,43,3,1e+05,0.000835,81,5,0.000643307346127745,0.00106198566794652,0.000601457319643434,TRUE,FALSE
23,43,4,1e+05,0.00054,50,8,0.000371131701783494,0.000749720841288486,0.000601457319643434,FALSE,FALSE
23,43,5,1e+05,0.00038,37,2,0.000260527106081731,0.000533104679141792,0.000601457319643434,TRUE,FALSE
23,43,6,1e+05,0.00036,35,2,0.000243799553146012,0.000509960561154996,0.000601457319643434,TRUE,FALSE
23,43,7,1e+05,6e-04,58,4,0.000440446857385524,0.000794742541099228,0.000601457319643434,FALSE,FALSE
23,43,8,1e+05,0.000285,27,3,0.000177939003306621,0.000428241186447459,0.000601457319643434,TRUE,FALSE
