"N1","N2","p1","p2","p3","p4","partition","n","groups","maxRank","minRank","best","best50","worst","worst50","id"
5000,5000,5,95,4,96,TRUE,2601,101,1,1,0.999998679222536,0.999998679222536,0.0192335892478312,0.0192335892478312,89
5000,5000,5,95,5,95,TRUE,2601,101,1,51,0.978164315069257,0.978164315069257,0.0174910055840537,0.0175210114601068,90
5000,5000,5,95,6,94,TRUE,2601,101,1,1,0.999988822338587,0.999988822338587,0.0174910055840537,0.0174910055840537,91
5000,5000,10,90,9,91,TRUE,2601,101,1,1,0.99935297937622,0.99935297937622,0.0136021808834866,0.0136021808834866,92
5000,5000,10,90,10,90,TRUE,2601,101,1,26,0.904274857888595,0.904274857888595,0.0130106568117008,0.0130106568117008,93
5000,5000,10,90,11,89,TRUE,2601,101,1,1,0.998895050907422,0.998895050907422,0.0130106568117008,0.0130106568117008,94
5000,5000,25,75,24,76,TRUE,2601,101,1,1,0.979911293025104,0.979911293025104,0.00927482467619218,0.00927482467619218,95
5000,5000,25,75,25,75,TRUE,2601,101,1,51,0.751663850591109,0.751663850591109,0.00915199017171807,0.00915435198831575,96
5000,5000,25,75,26,74,TRUE,2601,101,1,1,0.978203130536066,0.978203130536066,0.00915199017171807,0.00915199017171807,97
5000,5000,50,50,49,51,TRUE,2601,101,1,1,0.954472739877128,0.954472739877128,0.00797864607954032,0.00797864607954032,98
5000,5000,50,50,50,50,TRUE,2601,101,1,26,0.682592708969904,0.682592708969904,0.00797824721705299,0.00797824721705299,99
5000,5000,50,50,51,49,TRUE,2601,101,1,1,0.954472739877128,0.954472739877128,0.00797864607954032,0.00797864607954032,100
300,500,25,50,24,51,FALSE,225,161,2,1,0.441214173101887,0.441214173101887,0.0713289746950834,0.0713289746950834,141
1000,300,2,1,2,3,FALSE,1089,689,1,1,0.999040695799437,0.999040695799437,0.121235153877461,0.121235153877461,144
200,300,10,5,8,3,FALSE,81,65,7,12,0.662303619996244,0.662303619996244,0.102609354037675,0.102609354037675,145
700,500,5,10,6,8,FALSE,1225,649,6,6,0.954431248938405,0.954431248938405,0.416431333950015,0.416431333950015,146
200,700,1,0,3,0,FALSE,147,111,1,70,0.961538461538462,0.961538461538462,0.185920864452566,0.389230769230769,147
300,500,2,1,2,0,FALSE,135,103,1,12,0.989473684210526,0.989473684210526,0.182456140350877,0.182456140350877,148
200,500,0,3,0,4,FALSE,75,59,1,49,0.892857142857143,0.892857142857143,0.197849462365591,0.197849462365591,149
300,5000,25,1,24,0,FALSE,11934,6934,1,330,0.999994034399877,0.999994034399877,0.131428113340361,0.135705294132195,150
500,500,1,50,0,49,FALSE,375,247,25,25,0.989371544672779,0.989371544672779,0.157505655173526,0.157505655173526,151
2000,300,5,10,4,11,FALSE,3969,2369,7,2,0.887314052598203,0.887314052598203,0.0687992686607718,0.0687992686607718,152
2000,200,1,10,0,11,FALSE,2646,1846,117,313,0.943703625733748,0.941686904259156,0.174503719428806,0.195273532553084,153
2000,1000,25,0,27,0,FALSE,15015,5015,1,1896,0.997574957562026,0.997574957562026,0.105802075357392,0.110009427893105,154
700,1000,5,25,6,27,FALSE,5929,2329,3,680,0.81264398334667,0.81264398334667,0.0450698594773357,0.045516418229221,155
1000,700,1,10,3,8,FALSE,5929,2329,1,2,0.999999534608885,0.999999534608885,0.899276535487676,0.899276535487676,156
500,1000,3,0,2,0,FALSE,935,535,1,220,0.968019968019968,0.968019968019968,0.157015417934306,0.176321760157626,157
300,1000,25,50,23,52,FALSE,1089,689,1,8,0.732415883677158,0.732415883677158,0.345826803751814,0.345826803751814,159
500,300,0,50,0,51,FALSE,75,59,1,15,0.811111111111111,0.811111111111111,0.219493103156469,0.219493103156469,160
700,300,0,0,2,0,FALSE,81,63,1,15,0.995833333333334,0.995833333333334,0.218181818181818,0.218181818181818,161
200,5000,0,50,0,49,FALSE,7803,5303,1,3978,0.980582524271844,0.980582524271844,0.15712364373534,0.188483578361191,162
700,200,5,10,4,11,FALSE,441,297,1,14,0.802529391362749,0.802529391362749,0.0866106907052333,0.0866106907052333,163
2000,200,50,1,48,0,FALSE,2646,1846,73,434,0.931983646545304,0.930947572030705,0.171780667636138,0.192836057757172,167
700,500,3,1,4,0,FALSE,735,447,7,1,0.99861723346419,0.99861723346419,0.310674430339146,0.310674430339146,168
2000,700,1,3,1,3,FALSE,21609,7209,1,3724,0.993073387017939,0.993073387017939,0.0844092405870466,0.0896046982995554,169
2000,300,2,3,1,5,FALSE,3969,2369,11,14,0.997823137056002,0.997823137056002,0.501214494045505,0.501214494045505,172
300,5000,3,10,4,8,FALSE,23409,13409,20,37,0.968344298045206,0.968344298045206,0.346410815750036,0.346410815750036,173
300,300,5,5,4,3,FALSE,81,65,4,12,0.676235854577316,0.676235854577316,0.106751366039292,0.106751366039292,176
500,2000,0,5,1,7,FALSE,6615,3415,39,553,0.988253153569664,0.988253153569664,0.139997145343923,0.151367484075054,177
500,500,3,0,1,0,FALSE,200,136,1,81,0.978354978354978,0.978354978354978,0.193111236589497,0.210526315789474,178
200,700,25,5,27,4,FALSE,441,297,1,8,0.839371542666713,0.839371542666713,0.0793423938920447,0.0793423938920447,179
5000,200,5,50,5,50,FALSE,23409,13409,161,8664,0.456607544233695,0.456500382161498,0.0633079930076878,0.0640942703167822,181
500,2000,25,5,24,3,FALSE,11025,4625,1,13,0.997274806855003,0.997274806855003,0.539466814773936,0.539466814773936,182
1000,200,2,25,1,27,FALSE,1089,689,85,78,0.932044433978827,0.929343797745744,0.119084643574734,0.122340541560566,183
300,200,25,0,26,2,FALSE,54,46,1,9,0.993825448251376,0.993825448251376,0.776004042114463,0.776004042114463,184
500,500,0,5,0,7,FALSE,200,136,1,75,0.920676890534109,0.920676890534109,0.174935786054242,0.184707478649533,185
2000,1000,3,0,1,1,FALSE,27951,7951,1,9,0.99999999999983,0.99999999999983,0.573606772215474,0.573606772215474,186
200,2000,10,50,11,49,FALSE,3969,2369,1,178,0.638783460067429,0.638783460067429,0.0495902511530187,0.0498941430914523,187
2000,700,50,2,49,2,FALSE,21609,7209,5,3656,0.892270332997795,0.892270332997795,0.0567550035779268,0.057068170632482,188
500,200,3,50,4,48,FALSE,225,161,1,15,0.817223253056034,0.817223253056034,0.0898978761158214,0.0898978761158214,189
300,500,5,5,5,3,FALSE,225,161,1,2,0.929335938746129,0.929335938746129,0.277893093780021,0.277893093780021,190
200,500,50,0,48,0,FALSE,75,59,1,44,0.853801169590644,0.853801169590644,0.207150529384686,0.207150529384686,191
2000,700,25,25,24,23,FALSE,21609,7209,2,1300,0.642819786860426,0.642819786860426,0.0251102853088917,0.0251897568928872,192
